stream,architecture,seed,n_post_warmup,incumbent_mean_brier,candidate_mean_brier,mean_brier_gap,promotion_time,final_log_evidence
Bananas,16,4,4700,0.25186295484591825,0.22825944964504621,0.02360350520087205,566,84.36794087707271
Bananas,16,5,4700,0.25000050553786785,0.2354407339585867,0.014559771579281205,995,52.962872410853386
Bananas,16,6,4700,0.2576674341371509,0.24353048366519015,0.014136950471960678,958,57.54274267305722
Bananas,16,7,4700,0.24195299648946883,0.22438074956857024,0.01757224692089867,933,69.44517464061747
Bananas,16,8,4700,0.24462516063417664,0.2272151934334151,0.0174099672007616,1108,70.45723871312383
Bananas,16,9,4700,0.23580588810484757,0.22106574279542038,0.014740145309427242,1232,57.53421361196641
Bananas,16,10,4700,0.25001089856786823,0.24051578303870952,0.009495115529158759,1269,34.27885123560368
Bananas,16,11,4700,0.24491844711062308,0.2333565803215633,0.011561866789059712,1437,46.753309009365246
Bananas,16,12,4700,0.24049731405520405,0.22159467234651567,0.018902641708688377,1064,73.85725424730279
Bananas,16,13,4700,0.2627456382523374,0.2394904854029496,0.023255152849387825,777,84.5249581633178
Bananas,16,14,4700,0.2500537490083905,0.23208633203164472,0.017967416976745802,1069,70.20082043852419
Bananas,16,15,4700,0.24341712684280334,0.2320818969429375,0.011335229899865872,1363,46.36118014179105
Bananas,16,16,4700,0.24929794337660385,0.22910734533126695,0.020190598045336915,736,76.48339693100328
Bananas,16,17,4700,0.2518335429217985,0.23502171898364144,0.01681182393815713,1118,66.41811565375609
Bananas,16,18,4700,0.2485814954969971,0.23063357471916396,0.017947920777833182,806,70.18165266793508
Bananas,16,19,4700,0.2545556713020571,0.2358085224361809,0.018747148865876175,397,67.3600565986182
Bananas,16-8,0,4700,0.24868034627996047,0.2398643816319404,0.008815964648020116,1335,33.50336931310378
Bananas,16-8,1,4700,0.24673393183351447,0.23627997982262397,0.010453952010890524,889,38.306631262527944
Bananas,16-8,2,4700,0.2415672496589146,0.2112533707717544,0.030313878887160133,674,120.10071695098983
Bananas,16-8,3,4700,0.2428843886442962,0.21104531345171482,0.03183907519258131,703,127.00387354342799
Bananas,16-8,4,4700,0.26337187981928745,0.23385646603025895,0.029515413789028444,386,97.13914189227832
Bananas,16-8,5,4700,0.2512313009011457,0.24255339601155995,0.008677904889585725,895,27.036276700641967
Bananas,16-8,6,4700,0.24672519733581658,0.22518841293790207,0.02153678439791449,818,89.09338128738051
Bananas,16-8,7,4700,0.24285903921711297,0.21908680517931423,0.02377223403779869,963,90.94133484495286
